#offset(ns),V
0 0.400002 0.400002 0.400002 0.450002
0.079 0.450002 0.550002 0.500002 0.550002
0.158 0.600002 0.700002 0.600002 0.650002
0.237 0.800002 0.800002 0.800002 0.800002
0.316 0.900002 0.900002 0.950002 0.950002
0.395 1.05 1.05 1.05 1.05
0.474 1.1 1.15 1.15 1.2
0.553 1.25 1.25 1.3 1.25
0.632 1.35 1.35 1.35 1.35
0.711 1.4 1.45 1.4 1.4
0.79 1.5 1.45 1.45 1.5
0.869 1.55 1.55 1.55 1.55
0.948 1.55 1.55 1.55 1.55
1.027 1.55 1.6 1.6 1.6
1.106 1.6 1.6 1.6 1.6
1.185 1.6 1.65 1.65 1.6
1.264 1.65 1.65 1.65 1.65
1.343 1.65 1.65 1.65 1.65
1.422 1.65 1.7 1.7 1.65
1.501 1.65 1.7 1.7 1.65
1.58 1.7 1.7 1.7 1.7
1.659 1.7 1.7 1.7 1.7
1.738 1.7 1.7 1.7 1.7
1.817 1.7 1.7 1.7 1.7
1.896 1.7 1.7 1.7 1.7
1.975 1.7 1.7 1.7 1.7
2.054 1.7 1.7 1.7 1.7
2.133 1.7 1.7 1.7 1.7
2.212 1.7 1.7 1.7 1.7
2.291 1.7 1.7 1.7 1.7
2.37 1.7 1.7 1.7 1.65
2.449 1.65 1.65 1.7 1.65
2.528 1.65 1.65 1.65 1.6
2.607 1.6 1.6 1.65 1.6
2.686 1.55 1.6 1.6 1.6
2.765 1.55 1.55 1.6 1.55
2.844 1.5 1.55 1.55 1.5
2.923 1.5 1.5 1.5 1.5
3.002 1.45 1.5 1.5 1.45
3.081 1.45 1.5 1.45 1.45
3.16 1.4 1.45 1.45 1.45
3.239 1.4 1.45 1.45 1.45
3.318 1.4 1.45 1.45 1.45
3.397 1.4 1.45 1.45 1.45
3.476 1.4 1.45 1.45 1.45
3.555 1.4 1.45 1.45 1.45
3.634 1.45 1.45 1.45 1.45
3.713 1.45 1.5 1.45 1.5
3.792 1.5 1.5 1.5 1.5
3.871 1.55 1.5 1.5 1.55
3.95 1.6 1.55 1.55 1.6
4.029 1.6 1.6 1.6 1.65
4.108 1.65 1.65 1.6 1.7
4.187 1.7 1.65 1.65 1.75
4.266 1.7 1.7 1.7 1.75
4.345 1.75 1.7 1.75 1.8
4.424 1.75 1.75 1.75 1.85
